benchmark_id,condition,variant,tau,n_total,n_pass,n_abstain,coverage_pass,abstain_rate_total,risk_human_reject,risk_human_nonaccept,n_pass_labeled,risk_proxy
BEATAML_TP53_v1,BEATAML,context_swap,0.2,50,13,37,0.26,0.74,0.07692308,0.30769231,13,0
BEATAML_TP53_v1,BEATAML,context_swap,0.4,50,13,37,0.26,0.74,0.07692308,0.30769231,13,0
BEATAML_TP53_v1,BEATAML,context_swap,0.6,50,13,37,0.26,0.74,0.07692308,0.30769231,13,0
BEATAML_TP53_v1,BEATAML,context_swap,0.8,50,13,37,0.26,0.74,0.07692308,0.30769231,13,0
BEATAML_TP53_v1,BEATAML,context_swap,0.9,50,12,38,0.24,0.76,0.08333333,0.33333333,12,0
BEATAML_TP53_v1,BEATAML,ours,0.2,50,39,11,0.78,0.22,0.05128205,0.28205128,39,0
BEATAML_TP53_v1,BEATAML,ours,0.4,50,39,11,0.78,0.22,0.05128205,0.28205128,39,0
BEATAML_TP53_v1,BEATAML,ours,0.6,50,39,11,0.78,0.22,0.05128205,0.28205128,39,0
BEATAML_TP53_v1,BEATAML,ours,0.8,50,39,11,0.78,0.22,0.05128205,0.28205128,39,0
BEATAML_TP53_v1,BEATAML,ours,0.9,50,37,13,0.74,0.26,0.05405405,0.2972973,37,0
BEATAML_TP53_v1,BEATAML,stress,0.2,50,9,41,0.18,0.82,0,0.11111111,9,0
BEATAML_TP53_v1,BEATAML,stress,0.4,50,9,41,0.18,0.82,0,0.11111111,9,0
BEATAML_TP53_v1,BEATAML,stress,0.6,50,9,41,0.18,0.82,0,0.11111111,9,0
BEATAML_TP53_v1,BEATAML,stress,0.8,50,9,41,0.18,0.82,0,0.11111111,9,0
BEATAML_TP53_v1,BEATAML,stress,0.9,50,8,42,0.16,0.84,0,0.125,8,0